iter	Passed	Remaining
407	6018	51496
408	6035	51504
409	6050	51488
410	6070	51514
411	6083	51487
412	6096	51458
413	6110	51437
414	6124	51416
415	6143	51434
416	6157	51417
417	6172	51401
418	6186	51377
419	6200	51358
420	6219	51377
421	6234	51365
422	6247	51342
423	6262	51322
424	6275	51298
425	6294	51315
426	6307	51288
427	6320	51258
428	6333	51232
429	6348	51214
430	6365	51220
431	6379	51195
432	6393	51177
433	6410	51180
434	6427	51185
435	6450	51232
436	6468	51245
437	6482	51222
438	6494	51186
439	6508	51162
440	6526	51174
441	6541	51165
442	6556	51146
443	6569	51124
444	6584	51108
445	6601	51110
446	6614	51079
447	6627	51055
448	6641	51031
449	6654	51003
450	6671	51008
451	6689	51011
452	6703	50994
453	6719	50986
454	6733	50963
455	6751	50975
456	6764	50945
457	6779	50931
458	6793	50910
459	6805	50881
460	6825	50900
461	6839	50879
462	6852	50853
463	6865	50827
464	6878	50800
465	6895	50801
466	6909	50776
467	6924	50768
468	6938	50745
469	6953	50729
470	6971	50737
471	6983	50705
472	7000	50705
473	7017	50704
474	7032	50694
475	7051	50706
476	7063	50676
477	7076	50647
478	7089	50620
479	7104	50606
480	7122	50615
481	7136	50589
482	7149	50563
483	7163	50543
484	7176	50515
485	7195	50528
486	7208	50501
487	7222	50482
488	7236	50461
489	7252	50454
490	7273	50481
491	7288	50471
492	7301	50443
493	7315	50427
494	7330	50407
495	7348	50417
496	7362	50394
497	7375	50367
498	7387	50334
499	7399	50303
500	7417	50306
501	7430	50282
502	7443	50257
503	7457	50233
504	7470	50208
505	7487	50210
506	7501	50188
507	7517	50177
508	7531	50158
509	7545	50142
510	7563	50145
511	7575	50116
512	7590	50098
513	7603	50073
514	7617	50054
515	7634	50055
516	7648	50030
517	7662	50012
518	7677	50000
519	7692	49985
520	7711	50001
521	7725	49979
522	7738	49953
523	7754	49945
524	7769	49932
525	7786	49932
526	7801	49916
527	7816	49901
528	7828	49868
529	7841	49846
530	7858	49844
531	7871	49819
532	7885	49799
533	7900	49783
534	7913	49756
535	7931	49765
536	7944	49739
