iter	R2	RMSE
895	0.4062688188	1.859922845
900	0.4065404547	1.859497445
905	0.4068421967	1.859025509
910	0.4072854176	1.858331034
915	0.4075611711	1.857897525
920	0.4078231483	1.85748652
925	0.4081067964	1.857042107
930	0.4084083224	1.856569264
935	0.408710364	1.856095174
940	0.4090513722	1.855561254
945	0.4093735388	1.855053694
950	0.4095796459	1.854730148
955	0.4099782033	1.854104193
960	0.4102734831	1.853639634
965	0.4105707613	1.853172699
970	0.4109431631	1.852587524
975	0.4112192952	1.852154224
980	0.411480767	1.851742439
985	0.4118382368	1.85117907
990	0.4121464063	1.850694834
995	0.4124528551	1.850212239
1000	0.4127700267	1.849712546
1005	0.4130584439	1.849257352
1010	0.4133811192	1.848749406
1015	0.413633218	1.84835236
1020	0.4138941566	1.847940082
1025	0.4142036459	1.847453369
1030	0.4145173743	1.846959232
1035	0.4147649589	1.846567327
1040	0.4150469562	1.846123403
1045	0.4153739325	1.845607011
1050	0.415643247	1.84518228
1055	0.4160125352	1.844599889
1060	0.4162773512	1.844181026
1065	0.4165956122	1.843677712
1070	0.4168515754	1.843273471
1075	0.4171998801	1.842722562
1080	0.4174797326	1.842280339
1085	0.417723953	1.841893972
1090	0.4179959945	1.841462915
1095	0.4183083988	1.840969374
1100	0.4185850919	1.840531846
1105	0.4188972931	1.840036207
1110	0.4191881405	1.839576343
1115	0.4194283899	1.83919588
1120	0.4196388962	1.838863
1125	0.4199586633	1.838355739
1130	0.4202096789	1.837958014
1135	0.4204405702	1.83759124
1140	0.4207114995	1.83716195
1145	0.4209993162	1.83670678
1150	0.4212566787	1.836297728
1155	0.4215844063	1.835777218
1160	0.4219188171	1.83524708
1165	0.422284256	1.834667025
1170	0.422603135	1.834160315
1175	0.4227988989	1.833849417
1180	0.4230976536	1.833375088
1185	0.4233373125	1.832995194
1190	0.4236869344	1.832439053
1195	0.423970059	1.831987993
1200	0.4242193636	1.831591385
1205	0.4244784889	1.83117969
1210	0.4247448634	1.830755042
1215	0.4250477469	1.830273764
1220	0.4253061174	1.829861844
